date_created,date_updated,deleted_by_user,user_id,prolific_pid,study_id,wordle_play_frequency,native_english,primed_emotion,has_enhanced_feedback,presurvey_time,baseballcost,lakedays,postsurvey_time,widgettime,did_start_bonus_rounds,end_arousal,end_valence,session_id_x,minutes,crt1,crt2,crt3,crt,control,anger,empathy,anger_empathy,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,First Language,Nationality,Sex,t_anger,t_empathy
2022-04-06 16:12:55.630806,2022-04-06 16:29:04.260094,0,a55b8e5-f3b5-d52c-d30-63e83280c67,-7736667828025061579,624d956a30b83f43cc403583,11-100,1,control,0,2022-04-06 16:12:55.629719,0.1,24.0,2022-04-06 16:29:04.259977,5.0,0,55.0,93.0,624dbacf5e6ba2bbd0653ddd,16.133333333333333,0,1,0,1,1,0,0,0,APPROVED,2022-04-06 16:07:49.438000,2022-04-06 16:29:19.937000,1290.499,68.0,773,2,100,2022-04-06 19:16:23.671000,42B25E2B,United States,United States,English,United States,Female,0,0
2022-04-06 16:15:44.811994,2022-04-06 16:21:48.004184,0,256b8b-863-bdc0-ce33-7282245737d,6201466481902641664,624d956a30b83f43cc403583,11-100,1,anger,0,2022-04-06 16:15:44.810778,0.1,47.0,2022-04-06 16:21:48.004053,100.0,0,58.0,41.0,624dba11c72e1bb7ae54857d,6.05,0,0,1,1,0,1,0,0,APPROVED,2022-04-06 16:04:38.397000,2022-04-06 16:22:10.214000,1051.817,54.0,1155,1,100,2022-04-06 19:16:23.250000,42B25E2B,United States,United States,English,United States,Female,1,0
2022-04-06 16:19:17.100394,2022-04-06 16:27:14.634915,0,1b2537d-352e-6fd2-0f51-b6ad28a0f555,-1707836175394327804,624d956a30b83f43cc403583,11-100,1,control,0,2022-04-06 16:19:17.099112,0.1,24.0,2022-04-06 16:27:01.332485,500.0,1,49.0,91.0,624dbcfffb6f46ade49c078c,7.733333333333333,0,0,0,0,1,0,0,0,APPROVED,2022-04-06 16:17:05.966000,2022-04-06 16:27:10.894000,604.928,26.0,763,3,99,2022-04-06 19:16:23.939000,42B25E2B,United States,United States,English,United States,Female,0,0
2022-04-06 16:20:41.703907,2022-04-06 16:47:37.730678,0,37accec-fe33-2e70-1d80-7dba6ddc22c0,1768463186956921885,624d956a30b83f43cc403583,1,1,control,1,2022-04-06 16:20:41.702714,0.1,24.0,2022-04-06 16:47:37.730538,1.0,0,35.0,42.0,624dbcfc55566979b6c336b2,26.933333333333334,0,0,0,0,0,0,1,0,APPROVED,2022-04-06 16:17:03.389000,2022-04-06 16:47:44.539000,1841.15,18.0,24,0,100,2022-04-06 19:16:23.879000,42B25E2B,United States,United States,English,United States,Female,0,1
2022-04-06 16:21:09.790892,2022-04-06 16:34:43.623998,0,c1703e3-e674-3f18-e4fc-22a08cbab0,-7749896542124486369,624d956a30b83f43cc403583,101+,1,anger,1,2022-04-06 16:21:09.789889,0.05,47.0,2022-04-06 16:34:43.623867,20.0,0,77.0,76.0,624dbc9ab5d352081fbd7bdd,13.55,1,0,1,2,0,0,0,1,APPROVED,2022-04-06 16:15:26.200000,2022-04-06 16:34:58.580000,1172.38,23.0,17,0,100,2022-04-06 19:16:23.816000,42B25E2B,United States,United States,English,United States,Female,1,1
2022-04-06 16:22:32.706404,2022-04-06 16:26:08.116970,0,862d8b-4bac-a3f1-632a-e18180e256a0,-6645315429845474505,624d956a30b83f43cc403583,11-100,1,control,0,2022-04-06 16:22:32.705266,0.1,24.0,2022-04-06 16:26:08.116837,100.0,0,85.0,80.0,624dbdc3b4c88e2a87d4c39c,3.583333333333333,0,0,0,0,1,0,0,0,APPROVED,2022-04-06 16:20:22.659000,2022-04-06 16:26:17.539000,354.88,20.0,493,10,95,2022-04-06 19:16:24.143000,42B25E2B,United States,United States,English,United States,Female,0,0
2022-04-06 16:24:09.020196,2022-04-06 16:34:38.671046,0,b3a41a-18c-e520-dfc2-e0f5b606c33,587936856153114280,624d956a30b83f43cc403583,11-100,1,anger,0,2022-04-06 16:24:09.019078,0.05,47.0,2022-04-06 16:34:38.670886,5.0,0,49.0,77.0,624dbd9d7247357d93d2c55c,10.483333333333333,1,1,1,3,0,1,0,0,APPROVED,2022-04-06 16:19:46.931000,2022-04-06 16:34:47.963000,901.032,62.0,515,1,100,2022-04-06 19:16:24.088000,42B25E2B,United States,United States,English,United States,Male,1,0
2022-04-06 16:24:20.343918,2022-04-06 16:44:25.941288,0,2bbbac0-44d4-36a-b470-8ef625a1c35,-7495314414569170072,624d956a30b83f43cc403583,11-100,1,anger,1,2022-04-06 16:24:20.342801,0.1,12.0,2022-04-06 16:44:25.941162,20.0,0,48.0,88.0,624dbde31bc9d32549cbbb86,20.08333333333333,0,0,0,0,0,0,0,1,APPROVED,2022-04-06 16:20:54.729000,2022-04-06 16:44:35.779000,1421.05,54.0,421,0,100,2022-04-06 19:16:24.201000,42B25E2B,United States,United States,English,United States,Female,1,1
2022-04-06 16:28:20.182772,2022-04-06 17:18:23.538012,0,e0acf88-51e4-dd62-e3cc-ffaa466f8cc,-8907448033236753698,624d956a30b83f43cc403583,11-100,1,anger,0,2022-04-06 16:28:20.181553,0.05,47.0,2022-04-06 16:44:11.318031,4.74,1,70.0,99.0,624dbecfefc072366587c2ba,15.85,1,0,1,2,0,1,0,0,APPROVED,2022-04-06 16:24:52.063000,2022-04-06 16:44:23.338000,1171.275,33.0,148,0,100,2022-04-06 19:16:24.342000,42B25E2B,United States,United States,English,United States,Female,1,0
2022-04-06 16:29:15.507042,2022-04-06 16:35:15.712679,0,c3bad7b-a4f1-63f-7cff-0f60a3b07b3,-638378344957256754,624d956a30b83f43cc403583,11-100,1,control,0,2022-04-06 16:29:15.505812,0.1,24.0,2022-04-06 16:35:15.712532,5.0,0,39.0,62.0,624dbf20a0cd9d5fdb6db2d6,6.0,0,1,0,1,1,0,0,0,APPROVED,2022-04-06 16:26:12.657000,2022-04-06 16:35:21.477000,548.82,54.0,860,4,100,2022-04-06 19:16:24.423000,42B25E2B,United States,United States,English,United States,Female,0,0
